Calcification
2.8
18.92
13.14
72.92
18.33
6.17
6.75
20.52
10.03
6.42
8.53
2.33
6.45
32.67
81.42
16.13
6.53
6.16
2.44
12.01
24.57
10.37
22.0
17.79
9.99
5.05
64.43
43.5
7.68
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
