lat,lon,temperature,sio4,po4,no3,o2,DIC,TA,PAR,depth
-89,-35,,,,,,,,,5
-89,-34,,,,,,,,,5
-89,-33,,,,,,,,,5
-89,-32,,,,,,,,,5
-89,-31,,,,,,,,,5
-89,-30,,,,,,,,,5
-89,-29,,,,,,,,,5
-89,-28,,,,,,,,,5
-89,-27,,,,,,,,,5
-89,-26,,,,,,,,,5
-89,-25,,,,,,,,,5
-89,-24,,,,,,,,,5
-89,-23,,,,,,,,,5
-89,-22,,,,,,,,,5
-89,-21,,,,,,,,,5
-89,-20,,,,,,,,,5
-89,-19,,,,,,,,,5
-89,-18,,,,,,,,,5
-89,-17,,,,,,,,,5
-89,-16,,,,,,,,,5
-89,-15,,,,,,,,,5
-89,-14,,,,,,,,,5
-89,-13,,,,,,,,,5
-89,-12,,,,,,,,,5
-89,-11,,,,,,,,,5
-89,-10,,,,,,,,,5
-89,-9,,,,,,,,,5
-89,-8,,,,,,,,,5
-89,-7,,,,,,,,,5
-89,-6,,,,,,,,,5
-89,-5,,,,,,,,,5
-89,-4,,,,,,,,,5
-89,-3,,,,,,,,,5
-89,-2,,,,,,,,,5
-89,-1,,,,,,,,,5
-89,0,,,,,,,,,5
-89,1,,,,,,,,,5
-89,2,,,,,,,,,5
-89,3,,,,,,,,,5
-89,4,,,,,,,,,5
-89,5,,,,,,,,,5
-89,6,,,,,,,,,5
-89,7,,,,,,,,,5
-89,8,,,,,,,,,5
-89,9,,,,,,,,,5
-89,10,,,,,,,,,5
-89,11,,,,,,,,,5
-89,12,,,,,,,,,5
-89,13,,,,,,,,,5
-89,14,,,,,,,,,5
-89,15,,,,,,,,,5
-89,16,,,,,,,,,5
-89,17,,,,,,,,,5
-89,18,,,,,,,,,5
-89,19,,,,,,,,,5
-89,20,,,,,,,,,5
-89,21,,,,,,,,,5
-89,22,,,,,,,,,5
-89,23,,,,,,,,,5
-89,24,,,,,,,,,5
-89,25,,,,,,,,,5
-89,26,,,,,,,,,5
-89,27,,,,,,,,,5
-89,28,,,,,,,,,5
-89,29,,,,,,,,,5
-89,30,,,,,,,,,5
-89,31,,,,,,,,,5
-89,32,,,,,,,,,5
-89,33,,,,,,,,,5
-89,34,,,,,,,,,5
-89,35,,,,,,,,,5
-89,36,,,,,,,,,5
-89,37,,,,,,,,,5
-89,38,,,,,,,,,5
