lat	lon	Emiliania huxleyi	Coccolithus pelagicus	Florisphaera profunda	temperature	si	phosphate	din	irradiance	FID
-58	-69	65490.5			6.721225378	0.4503875177	1.3281381945	19.153853893	25.1581072869	ANTA
-58	-69	39478			6.3784177612	0.9019215298	1.3715920808	19.9862353222	5.8543316515	ANTA
-58	-69	70407			5.6158879067	2.2050724687	1.4896415918	20.9791199442	2.6043490283	ANTA
-58	-69	28002			4.9056540681	2.9725230849	1.5722415308	22.1312252736	1.1585667272	ANTA
-58	-58	137401			4.3722999642	8.2711790439	1.5022424608	23.076593799	24.6015697227	ANTA
-58	-57	30137			4.1935945035	10.7254058172	1.512002793	23.5061367419	24.2730438575	ANTA
-58	-57	7403			3.2951606604	17.2074359372	1.6413473232	24.2440535901	4.2541142334	ANTA
-58	-57	32447			1.4207625558	30.5835641007	1.9089026551	26.672183633	0.6144110875	ANTA
-58	174	33903			6.4085846004	0.2045488133	1.4021447612	14.6442856735	37.3550071716	ANTA
-57	-153	153684			3.0712887853	31.3132342995	1.8123462229	23.2055755299	11.7966026668	SANT
-57	-153	72857			2.7748882173	27.5442005441	1.866585443	23.5539348372	3.5317975448	SANT
-57	-153	76161			2.2875981775	29.5007725942	1.8817377886	23.9033230045	1.0573886609	SANT
-57	-153	10479			1.6536564806	39.0245808994	1.7638966623	25.8845036393	0.0947790488	SANT
-57	-153	6254			1.526518206	37.7147741488	1.9206556524	27.1041188891	0.004648464	SANT
-57	-116	482393			5.5971756169	2.6366962391	1.4166670219	20.4794303218	15.6293379688	SANT
-57	-116	313550			5.5018247442	6.2433603473	1.4856452138	20.4879167344	6.2410855931	SANT
-57	-116	371436			5.2344405868	7.0070916432	1.4846948708	20.8093020273	2.4921816559	SANT
-57	-116	113354			4.7628816472	10.7988542502	1.6336143626	21.8196105082	0.3973917141	SANT
-57	-97	29807			5.8643190167	5.1402227524	1.3880847433	20.6743575933	24.9990587474	SANT
-57	-97	62054			5.8427212491	4.654348605	1.3905360369	20.6687431192	15.0719997061	SANT
-57	-97	70976			5.6218073239	4.8678565014	1.4118143393	20.930183082	5.4785460527	SANT
-57	-97	33314			5.423749936	6.5634197187	1.4859762165	21.4148907895	1.9914057482	SANT
-57	-97	8444			5.0763616441	9.4923641471	1.4814403965	21.1094631646	0.2631168346	SANT
-57	-58	187686.5			5.2247853721	4.3221243469	1.4269675604	22.0808629827	25.3690757472	SANT
-57	-58	260498			5.199815001	5.0128885658	1.4158597211	21.3938268771	21.4565701804	SANT
-57	-58	141846			4.444548527	8.3330371476	1.532049506	22.5757095064	5.6183081024	SANT
-57	-58	135538			2.6758112467	18.5000986452	1.7691048781	25.0668634844	1.0523546265	SANT
-57	57	144150			2.3731493294	21.147598041	1.746644758	25.4948689369	14.9987062099	ANTA
-57	57	275723			2.389240054	21.4316485972	1.7256409363	25.8774879621	7.7831816582	ANTA
-57	57	20409			2.1899556218	21.5055802272	1.7392466276	25.7952609179	4.0388761455	ANTA
-57	57	124495			1.7382305241	34.4751046942	1.7877470134	25.9312872741	2.0958678899	ANTA
-57	57	1485			0.8283563189	32.3547875806	1.8791283216	27.2214724756	0.78346384	ANTA
-56	-59	85562.6666666667			6.1886000615	2.0741657445	1.3507660106	19.9920109851	26.1138807976	SANT
-56	-59	2111			5.5499037135	4.0850991703	1.4425130238	20.4981247655	4.3069164327	SANT
-56	-59	457			4.0525399902	10.3784306402	1.6503292101	23.2561866213	0.5814257395	SANT
-56	-58	82359			6.0388441932	2.9701469936	1.3368908456	19.8545310879	21.8565853194	SANT
-56	174	42824.5			7.4286488919	1.1752206228	1.239540225	15.8771574216	40.1300430298	SANT
-55	-155	388761			5.5348076769	14.9478156395	1.608343358	19.3171781058	13.4141089046	SANT
-55	-155	33277			5.1800041575	8.8558367403	1.6938829762	19.7200445231	2.5454391118	SANT
-55	-155	15531			4.8205514788	16.2841313749	1.8047096234	22.4360558267	1.1088253736	SANT
-55	-155	5311			4.3391740209	17.7078520386	1.5876371276	22.4668423663	0.1595012857	SANT
-55	-155	1301			3.9439291746	16.4861164028	1.7192329111	22.9698475121	0.0099946056	SANT
-55	-126	17783			6.6278784662	3.1041574596	1.2259063397	17.1415140569	20.7271740397	SANT
-55	-126	31105			6.5469739725	3.0753891749	1.2270404151	17.168613958	11.4437402638	SANT
-55	-126	36204			6.3338157998	3.208987246	1.2384391682	17.2822277318	3.4883800038	SANT
-55	-126	11930			6.0281671554	3.4602681631	1.2602212464	17.471304252	1.0633582003	SANT
-55	-126	1851			5.5154452375	4.1257855482	1.3096030804	17.8436050618	0.098807788	SANT
-55	-81	60425			6.6303516333	3.2528321926	1.3510813759	18.5388290971	28.150713033	SANT
-55	-81	30421			6.5683595517	3.4020878623	1.3320049526	18.5767689056	17.9227185661	SANT
-55	-81	52838			6.556958597	3.3611812415	1.3537713415	18.6402316882	7.2649537956	SANT
-55	-81	16756			6.0324661372	5.6323114871	1.5151733293	20.0334534756	1.4960067612	SANT
-55	74	131500			2.606710993	10.1720799401	1.6961349771	25.1921773896	9.4693648473	ANTA
-55	88	105740			3.2367716797	13.6952687499	1.5068626015	24.145062206	10.6131175969	ANTA
-54	-119	146078			6.9130466167	1.3640199256	1.2284380623	17.4483024141	15.1824262468	SANT
-54	-119	138983			6.6022878166	2.3626068931	1.2759017257	17.6512125807	5.4746857937	SANT
-54	-119	124264			6.1958756456	3.4926719779	1.3113574821	17.9468981168	1.9741366797	SANT
-54	-119	3298			5.6909599296	5.5360856103	1.4363541936	18.9043542499	0.2566925448	SANT
-54	-18	28160			2.9591301899	0.7451840959	1.3258192969	19.6367609123	15.0128102794	ANTA
-54	174	52678			8.2521947171	2.0235210169	1.051613079	15.7578046346	42.277507782	SANT
-53	-180	140196			7.8183020303	2.835536376	1.1367005632	12.6857534756	16.2603151956	SANT
-53	-180	185490			7.4587158247	2.9819733437	1.1925954654	14.8897207348	4.5607045142	SANT
-53	-180	204541			7.1829949667	3.2740820391	1.2131983903	13.6435089495	2.1270305165	SANT
-53	-180	18537			6.606609062	2.3881430205	1.1148767581	14.2549200501	0.2782393062	SANT
-53	-180	1866			6.3037794278	4.0019485307	1.0987803285	14.9838751848	0.021888925	SANT
-53	57	325144			3.7749212913	9.4526202539	1.6313748261	23.9226994057	13.8488981196	SANT
-53	57	314328			3.7510779785	9.5779242512	1.5778491389	24.2634683382	6.4379224827	SANT
-53	57	63409			3.7139868746	11.7253681948	1.6128768091	24.7307100465	2.9927901509	SANT
-53	57	153371			3.6532630229	19.7551358919	1.6461031303	25.0295632208	1.3912551621	SANT
-53	57	61914			2.7819107481	16.0337073362	1.7933059901	25.6422742134	0.4409634289	SANT
-52	-38	564690			4.1915979783	3.5273775681	1.3203036116	19.6135470685	13.6146928919	SANT
-52	175	8866			8.9709512927	2.1315340904	0.7936395754	14.1490668817	43.3835258484	SANT
-51	-11	75830			3.7796695424	2.3240030323	1.2676438028	22.3482371539	15.9227785195	SANT
-50	2	42117			4.2787765839	12.8766557166	1.5229048468	22.3241126785	17.8749310811	SANT
-50	2	29248			4.708252687	6.0630380881	1.4361102284	21.2686539407	13.304118482	SANT
-50	2	50306			4.2506915321	12.9297986507	1.5295991146	22.2832292518	10.8905847455	SANT
-50	2	38607			4.6692009355	6.2005853091	1.4342699641	21.1638862962	8.5554807179	SANT
-50	2	40947			4.1666641891	12.8655356289	1.5333267882	22.2312591859	4.0426379123	SANT
-50	2	43286.5			4.6259512139	6.7532500451	1.4321095388	21.2041103366	3.5380261839	SANT
-50	2	22228.5			4.05074763	11.8504485618	1.5278813986	22.0752741108	1.500646813	SANT
-50	2	32757.5			4.582957491	7.1461773854	1.4392989357	21.4653114913	1.4631123242	SANT
-50	2	29248			4.0088321195	13.0555445477	1.5604337622	22.6688162282	0.55704738	SANT
-50	2	53816			4.312336379	8.5403881629	1.521643985	22.0396706433	0.6050542201	SANT
-50	2	21058.5			3.2672745565	15.3518949088	1.5853459877	23.0677397853	0.2067786909	SANT
-50	2	32757.5			3.6770557122	12.0508364522	1.635963453	23.3981222238	0.250213605	SANT
-50	2	5849.5			2.0051689607	25.8027591406	1.9015799635	26.9092013333	0.0173596073	SANT
-50	2	4679.5			2.3208247155	22.9434221368	1.8893060309	28.1758259871	0.0275170888	SANT
-50	94	79840			6.1577685935	2.7458898778	1.4053992403	18.8147617897	9.7542946568	SANT
-49	-56	87.754			5.4649501387	5.1056040259	1.4941962219	16.690992878	23.4628019284	SSTC
-49	-56	51.442			5.2640884176	5.796388215	1.5580048082	16.0508336047	1.0821335485	SSTC
-49	-56	45.39			4.8968485361	6.284860939	1.6602170455	17.2229301455	0.0321595943	SSTC
-49	2	330930			4.1782882273	10.9309783793	1.5763504225	22.4195827724	21.0531402508	SANT
-49	2	124501			4.1432615879	7.1121576272	1.4988281976	21.1871371623	11.6412283132	SANT
-49	2	86018			4.1097768274	7.9209569473	1.4892177865	20.7002263355	3.5592840911	SANT
-49	2	23715			4.0303136226	7.7792790262	1.5041540698	20.8704919797	1.0882445478	SANT
