Gephyrocapsa huxleyi HET,lat,lon
99858.0,-44,-56
47659.5,-44,-56
56359.25,-44,-55
18160.0,-44,-55
16643.0,-44,-55
152200.0,-44,10
71400.0,-44,11
138465.0,-44,57
15022.0,-44,57
34367.0,-44,57
34524.0,-44,57
28645.0,-44,57
2916.0,-44,57
43120.5,-43,-55
44633.5,-43,-55
9740.0,-43,3
75000.0,-43,11
101300.0,-43,12
98920.0,-43,113
116185.0,-42,-42
62052.0,-42,-42
77291.0,-42,-42
66720.0,-42,-42
17653.0,-42,-42
69700.0,-42,12
61300.0,-42,13
86636.0,-42,57
12635.0,-42,57
82101.0,-42,57
21179.0,-42,57
16992.0,-42,57
18809.0,-42,57
81320.0,-41,-56
73990.0,-41,-56
6030.0,-41,-46
61950.0,-41,13
29080.0,-41,43
26540.0,-41,105
98490.0,-41,109
53946.8,-40,-75
27230.0,-40,-54
39340.0,-40,-54
11842.0,-40,-19
12003.0,-40,-19
22578.0,-40,-19
2475.0,-40,-19
35700.0,-40,14
82349.0,-40,57
89492.0,-40,57
11401.0,-40,57
4462.0,-40,57
14099.0,-40,57
13910.0,-40,57
6985.0,-39,-75
52827.0,-39,-75
40639.0,-39,-75
14923.0,-39,-75
37966.0,-39,-75
10963.0,-39,-75
7105.0,-39,-75
33632.0,-39,-75
7773.0,-39,-75
6970.0,-39,-75
35461.0,-39,-75
1706.0,-39,-75
11510.0,-39,-75
4890.0,-39,-75
4129.0,-39,-75
4564.0,-39,-75
1586.0,-39,-75
1773.0,-39,-75
189125.0,-39,-52
152056.5,-39,-52
7757.0,-39,-22
7622.0,-39,-22
13139.0,-39,-22
1583.0,-39,-22
359.0,-39,-22
37750.0,-39,15
8747.0,-38,-75
11101.0,-38,-75
2627.0,-38,-75
611.0,-38,-75
1683.0,-38,-75
2579.0,-38,-75
10591.0,-38,-53
10591.0,-38,-53
31773.0,-38,-53
49600.0,-38,15
17150.0,-38,39
5649.0,-37,-75
55660.0,-37,-75
38207.0,-37,-75
17165.0,-37,-75
5912.0,-37,-75
6722.0,-37,-75
4551.0,-37,-75
2130.0,-37,-74
1092.0,-37,-74
889.0,-37,-74
845.0,-37,-74
11340.0,-37,-50
19670.0,-37,-50
60560.0,-37,-15
68615.0,-37,-15
128185.0,-37,-15
106475.0,-37,-15
74575.0,-37,-15
66485.0,-37,-15
60600.0,-37,14
39000.0,-37,16
24964.5,-36,-50
89267.0,-36,-50
31773.0,-36,-50
105910.0,-36,-50
25721.0,-36,-50
31773.0,-36,-49
30260.0,-36,-49
3074.0,-36,-23
6239.0,-36,-23
4269.0,-36,-23
27626.0,-36,-23
11460.0,-36,-23
655.0,-36,-23
72820.0,-36,-21
7197.0,-36,-21
39163.0,-36,-21
12473.0,-36,-21
27510.0,-36,8
39920.0,-36,8
122510.0,-36,8
44280.0,-36,8
83105.0,-36,8
31600.0,-36,16
15600.0,-36,17
194500.0,-35,18
10590.0,-34,-47
24210.0,-34,-47
52950.0,-34,-47
4540.0,-34,-47
2025.0,-34,-32
1713.0,-34,-32
682.0,-34,-32
140.0,-34,-32
199.0,-34,-32
439.0,-34,-24
1467.0,-34,-24
3167.0,-34,-24
9200.0,-34,-3
10370.0,-34,-3
24840.0,-34,-3
17750.0,-34,-3
44820.0,-34,-3
68430.0,-34,-3
20485.0,-34,3
21200.0,-34,3
58000.0,-34,3
100920.0,-34,3
129895.0,-34,3
81990.0,-34,3
131610.0,-34,8
265780.0,-34,10
7565.0,-33,-47
10591.0,-33,-47
19669.0,-33,-47
7560.0,-33,-47
49929.0,-33,-47
324.0,-33,-15
7347.0,-33,-15
56.0,-33,-15
10400.0,-33,-4
24800.0,-33,-4
17800.0,-33,-4
44800.0,-33,-4
68400.0,-33,-4
39600.0,-33,4
28747.0,-33,17
194.0,-32,-25
1219.0,-32,-25
2085.0,-32,-25
531.0,-32,-25
36410.0,-32,11
69190.0,-32,11
50815.0,-32,11
560.0,-31,-44
9060.0,-31,-44
33280.0,-31,-44
80.0,-31,-44
6052.0,-30,-43
7565.0,-30,-43
1762.0,-30,-27
353.0,-30,-27
199685.0,-30,13
107195.0,-30,13
65220.0,-30,13
101895.0,-30,13
288226.5,-30,16
2569.0,-30,112
2922.0,-30,112
4392.0,-30,112
3097.0,-30,112
4375.0,-30,112
3261.5,-30,113
3527.0,-30,113
5573.0,-30,113
3543.0,-30,113
4343.0,-30,113
551.0,-30,113
8520.0,-29,-8
1261.0,-29,-8
1885.0,-29,-8
564.0,-29,-8
4386.0,-29,-8
10875.0,-29,-8
2950.0,-29,-5
67410.0,-29,14
50010.0,-29,14
48220.0,-29,14
47810.0,-29,14
11218.0,-29,112
7640.0,-29,112
19412.0,-29,112
735.0,-29,112
641.0,-29,112
2049.0,-29,113
6969.0,-29,113
1291.0,-29,113
42364.0,-28,-41
3020.0,-28,-41
21180.0,-28,-41
6050.0,-28,-41
27230.0,-28,-41
569.0,-28,111
1054.0,-28,111
4060.0,-28,111
2280.0,-28,111
721.0,-28,111
3782.5,-27,-40
9078.0,-27,-40
750.0,-27,-40
16643.0,-27,-40
1095412.0,-27,13
183.0,-27,111
1953.0,-27,111
4748.0,-27,111
6868.0,-27,111
863.0,-27,111
56929.0,-26,-5
16364.0,-26,-5
21665.0,-26,-5
6082.0,-26,-4
5348.0,-26,-4
6996.0,-26,-4
1413.0,-26,110
1340.0,-26,110
1556.0,-26,110
7162.0,-26,110
1219.0,-26,110
3030.0,-25,-38
1510.0,-25,-38
99.5,-25,-26
1510.0,-25,14
7560.0,-25,14
917.0,-25,108
1741.0,-25,108
6308.0,-25,108
3780.0,-25,108
7765.0,-25,108
925.0,-25,108
7565.0,-24,-38
4540.0,-24,-38
3026.0,-24,-38
12100.0,-24,-38
233.0,-24,-17
9480.0,-24,-17
673.0,-24,-17
566.0,-24,-17
1060.0,-24,-1
6933.0,-24,-1
10946.0,-24,-1
8880.0,-24,-1
5185.0,-24,-1
1214.5,-24,108
701.0,-24,108
1931.0,-24,108
3562.0,-24,108
1306.0,-24,108
5720.0,-24,108
3301.0,-24,108
